,name,year,country,type,quote,star_num
94,甜蜜蜜,1996,香港,剧情 爱情,相逢只要一瞬间，等待却像是一辈子。,8.8
95,射雕英雄传之东成西就,1993,香港,喜剧 古装,百看不厌。 ,8.7
96,加勒比海盗,2003,美国,动作 冒险 奇幻,约翰尼·德普的独角戏。,8.6
97,穿条纹睡衣的男孩,2008,英国,剧情 战争,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,8.9
98,告白,2010,日本,剧情 惊悚,没有一人完全善，也没有一人完全恶。,8.7
99,一一,2000,台湾,剧情 爱情 家庭,我们都曾经是一一。,8.9
100,阳光姐妹淘,2011,韩国,剧情 喜剧,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,8.8
101,摩登时代,1936,美国,喜剧 剧情 爱情,大时代中的人生，小人物的悲喜。,9.2
102,阿凡达,2009,美国,动作 战争 科幻 冒险,绝对意义上的美轮美奂。,8.6
103,上帝之城,2002,巴西,犯罪 剧情,被上帝抛弃了的上帝之城。,8.9
104,爱在黎明破晓前,1995,美国,剧情 爱情,缘分是个连绵词，最美不过一瞬。,8.7
105,消失的爱人,2014,美国,剧情 犯罪 悬疑 惊悚,年度最佳date movie。,8.7
106,风之谷,1984,日本,动画 奇幻 冒险,动画片的圣经。,8.8
107,爱在日落黄昏时,2004,美国,剧情 爱情,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,8.8
108,侧耳倾听,1995,日本,剧情 爱情 动画,少女情怀总是诗。,8.8
109,超脱,2011,美国,剧情,穷尽一生，我们要学会的，不过是彼此拥抱。,8.8
110,倩女幽魂,1987,香港,剧情 爱情 武侠 古装,两张绝世的脸。 ,8.6
111,恐怖直播,2013,韩国,剧情 犯罪 悬疑,恐怖分子的“秋菊打官司”。,8.7
112,红辣椒,2006,日本,动画 悬疑 科幻 惊悚,梦的勾结。,8.9
113,小森林 夏秋篇,2014,日本,剧情,那些静得只能听见呼吸的日子里，你明白孤独即生活。,8.9
114,喜剧之王,1999,香港,喜剧 剧情 爱情,我是一个演员。,8.6
115,菊次郎的夏天,1999,日本,剧情 喜剧,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,8.7
116,驯龙高手,2010,美国,喜剧 动画 奇幻 冒险,和谐的生活离不开摸头与被摸头。,8.7
117,幸福终点站,2004,美国,喜剧 剧情 爱情,有时候幸福需要等一等。 ,8.7
118,萤火虫之墓,1988,日本,动画 剧情 战争,幸福是生生不息，却难以触及的远。 ,8.7
119,借东西的小人阿莉埃蒂,2010,日本,动画 奇幻 冒险,曾经的那段美好会沉淀为一辈子的记忆。,8.7
120,神偷奶爸,2010,美国,喜剧 动画 冒险,Mr. I Don't Care其实也有Care的时候。,8.5
121,岁月神偷,2010,香港,剧情 家庭,岁月流逝，来日可追。,8.6
122,七武士,1954,日本,动作 冒险 剧情,时代悲歌。,9.2
123,杀人回忆,2003,韩国,犯罪 剧情 悬疑 惊悚,关于连环杀人悬案的集体回忆。,8.7
124,贫民窟的百万富翁,2008,英国,剧情 爱情,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,8.5
125,喜宴,1993,台湾,剧情 喜剧 爱情 同性 家庭,中国家庭的喜怒哀乐忍。,8.8
126,电锯惊魂,2004,美国,悬疑 惊悚 恐怖,真相就在眼前。,8.7
127,怪兽电力公司,2001,美国,儿童 喜剧 动画 奇幻 冒险,不要给它起名字，起了名字就有感情了。,8.6
128,谍影重重3,2007,美国,动作 悬疑 惊悚,像吃了苏打饼一样干脆的电影。,8.7
129,真爱至上,2003,英国,喜剧 剧情 爱情,爱，是个动词。,8.5
130,东邪西毒,1994,香港,剧情 动作 爱情 武侠 古装,电影诗。,8.6
131,记忆碎片,2000,美国,犯罪 剧情 悬疑 惊悚,一个针管引发的血案。,8.5
132,海洋,2009,法国,纪录片,大海啊，不全是水。,9.0
133,黑天鹅,2010,美国,剧情 惊悚,黑暗之美。,8.5
134,雨人,1988,美国,剧情,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,8.6
135,疯狂原始人,2013,美国,喜剧 动画 冒险,老少皆宜，这就是好莱坞动画的魅力。,8.7
136,卢旺达饭店,2004,英国,剧情 历史 战争,当这个世界闭上双眼，他却敞开了怀抱。,8.9
137,小森林 冬春篇,2015,日本,剧情,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,8.9
